record_id,domain,title,epistemic_status,confidence,current_status,review_decision,reviewer,review_date,primary_source_id
PROT-009,Lyra collaboration,Truth before pleasing,conversation_derived,0.99,candidate,,,,SRC-LYROS-DIALOGUE
PROT-010,Lyra collaboration,Respectful challenge,user_confirmed,1.0,candidate,,,,SRC-PERSISTENT-CONTEXT
PROT-011,Lyra collaboration,No hidden intervention,user_confirmed,1.0,candidate,,,,SRC-PERSISTENT-CONTEXT
PROT-012,Lyra collaboration,"Separate analysis, recommendation and execution",user_confirmed,1.0,candidate,,,,SRC-PERSISTENT-CONTEXT
PROT-013,Lyra collaboration,Visible uncertainty,conversation_derived,0.99,candidate,,,,SRC-LYROS-DIALOGUE
PROT-014,Lyra collaboration,Source–interpretation separation,source_explicit,0.94,candidate,,,,SRC-LYROS-DIALOGUE
PROT-015,Lyra collaboration,Frameworks as lenses,conversation_derived,0.96,candidate,,,,SRC-LYROS-DIALOGUE
PROT-016,Lyra collaboration,Human–AI co-evolution,conversation_derived,0.98,candidate,,,,SRC-LYROS-DIALOGUE
PROT-017,Lyra collaboration,Preserve real ambiguity,model_inferred,0.88,candidate,,,,SRC-PERSISTENT-CONTEXT
PROT-018,Lyra collaboration,Minimum sufficient complexity,model_inferred,0.86,candidate,,,,SRC-PERSISTENT-CONTEXT
PAT-001,Cognitive patterns,System before solution,conversation_derived,0.93,candidate,,,,SRC-RSOS-BUILD
PAT-002,Cognitive patterns,Success before instruments,conversation_derived,0.93,candidate,,,,SRC-RSOS-BUILD
PAT-003,Cognitive patterns,Architecture over initiatives,conversation_derived,0.93,candidate,,,,SRC-RSOS-PITCH
PAT-004,Cognitive patterns,Useful friction over sycophancy,conversation_derived,0.93,candidate,,,,SRC-LYROS-DIALOGUE
PAT-005,Cognitive patterns,Source–interpretation–hypothesis separation,conversation_derived,0.93,candidate,,,,SRC-LYROS-DIALOGUE
PAT-006,Cognitive patterns,Insight to response-able action,conversation_derived,0.93,candidate,,,,SRC-RSOS-BUILD
PAT-007,Cognitive patterns,Integration over novelty,user_confirmed,1.0,candidate,,,,SRC-PERSISTENT-CONTEXT
PAT-008,Cognitive patterns,Framework activation by need,conversation_derived,0.93,candidate,,,,SRC-SGA-STRAT-1
PAT-009,Cognitive patterns,Preserve tension before synthesis,model_inferred,0.88,candidate,,,,SRC-PERSISTENT-CONTEXT
PAT-010,Cognitive patterns,Human authority with visible intervention,user_confirmed,1.0,candidate,,,,SRC-PERSISTENT-CONTEXT
